Id,Sales
1,10146.7705
2,11363.814
3,12617.391
4,10253.579
5,10214.5625
6,9682.343
7,11025.183
8,10476.151
9,9366.331
10,10664.213
11,11160.6045
12,11932.42
13,11086.558
14,12636.704
15,8709.151
16,9912.766
17,10175.828
18,13502.226
19,11257.467
20,11695.152
21,10309.2295
22,8786.967
23,10489.058
24,10841.6045
25,10614.211
26,14292.213
27,11271.429
28,9358.105
29,8935.57
30,9389.182
31,9787.979
32,13373.083
33,11345.772
34,10262.405
35,10755.046
36,9924.295
37,9945.6455
38,10453.032
39,10491.489
40,11919.089
41,10189.765
42,9947.499
43,11586.02
44,12216.769
45,9780.0
46,9831.743
47,11252.45
48,14198.735
49,10603.374
50,10366.82
51,11294.456
52,12545.635
53,9516.232
54,11915.197
55,11084.775
56,10528.63
57,9193.701
58,9362.382
59,12416.8545
60,9576.238
61,10388.367
62,12610.166
63,11219.262
64,13344.3
65,11299.25
66,14129.956
67,9616.385
68,10487.162
69,10610.549
70,10945.501
71,9041.631
72,11081.032
73,10320.366
74,10838.759
75,10783.982
76,13691.378
77,11233.787
78,9008.891
79,11240.703
80,11037.16
81,13893.481
82,9552.935
83,9659.603
84,10714.192
85,10143.701
86,11754.785
87,11312.11
88,11278.279
89,10754.579
90,9772.623
91,11166.425
92,10570.936
93,9542.263
94,11061.697
95,11270.807
96,12345.686
97,13575.879
98,10285.807
99,9827.586
100,10820.589
101,10789.224
102,11849.622
103,13201.428
104,11714.695
105,10347.303
106,10664.208
107,9814.889
108,11286.122
109,13107.413
110,9859.469
111,11405.197
112,10492.286
113,11887.609
114,11617.03
115,10373.604
116,11224.614
117,11802.938
118,12788.978
119,13354.805
120,12044.154
121,12210.605
122,9840.332
123,10190.327
124,12244.832
125,11509.509
126,11252.2295
127,8982.347
128,10810.974
129,10146.843
130,11389.379
131,10863.932
132,8581.974
133,10504.165
134,10219.743
135,10559.053
136,9441.416
137,10767.457
138,12724.341
139,10695.079
140,11179.03
141,9871.164
142,9686.836
143,9866.78
144,9954.053
145,12854.62
146,12449.076
147,9694.929
148,13018.807
149,8956.648
150,10150.174
151,13008.402
152,11341.951
153,11927.588
154,10919.886
155,10431.447
156,9739.551
157,10309.465
158,9657.486
159,14522.052
160,11141.671
161,9919.768
162,9479.294
163,12064.2
164,11744.64
165,9472.219
166,8906.511
167,10681.311
168,9359.682
169,10206.252
170,9814.471
171,9453.426
172,11034.205
173,8694.104
174,11627.917
175,11336.351
176,12079.96
177,10454.633
178,10668.416
179,13169.756
180,13031.213
181,10929.213
182,10253.577
183,8847.691
184,8656.758
185,10727.487
186,10942.082
187,8765.143
188,12440.242
189,10573.613
190,9898.147
191,11415.83
192,10001.123
193,12129.295
194,14182.833
195,14460.9795
196,8900.951
197,8363.478
198,10018.676
199,10280.976
200,10037.9
201,12339.479
202,13838.734
203,11513.1455
204,10354.68
205,12070.279
206,9792.637
207,10494.204
208,11451.865
209,10373.97
210,10695.53
211,10723.662
212,11399.268
213,10475.018
214,14357.566
215,8960.747
216,10105.158
217,13046.556
218,11020.492
219,10161.659
220,12467.449
221,10331.369
222,10695.772
223,11158.596
224,10352.394
225,8429.972
226,10927.322
227,10622.012
228,11969.282
229,11424.594
230,10048.251
231,9583.931
232,10696.73
233,10934.351
234,10368.533
235,10380.729
236,10938.988
237,11452.419
238,11273.112
239,12544.948
240,8097.4766
241,10070.876
242,11033.381
243,9469.233
244,12930.627
245,11406.132
246,9717.93
247,14673.45
248,10682.912
249,8835.262
250,11161.285
251,10792.636
252,11607.221
253,9791.084
254,8475.197
255,13688.506
256,10770.24
257,14813.934
258,13383.325
259,10580.365
260,10783.843
261,10187.873
262,10673.841
263,8593.197
264,14206.254
265,10322.7295
266,11919.905
267,9842.305
268,10252.912
269,11056.944
270,13960.964
271,10961.923
272,10490.897
273,9879.879
274,9535.195
275,10128.6875
276,12608.445
277,10372.036
278,12933.852
279,9489.08
280,12113.243
281,9847.879
282,10848.542
283,9770.517
284,13126.517
285,9477.448
286,10835.682
287,11104.864
288,11992.417
289,11148.808
290,9557.963
291,9530.373
292,11675.506
293,14391.911
294,14425.79
295,11662.356
296,11674.542
297,11951.342
298,14006.94
299,14258.334
300,8347.715
301,10669.116
302,9573.515
303,12289.083
304,10652.843
305,8304.02
306,10236.262
307,11539.342
308,10811.888
309,10378.221
310,9650.179
311,10271.647
312,10877.181
313,11189.726
314,9112.249
315,9091.768
316,12332.977
