Store,Date,Sales,y_pred,residual
1,2015-06-20,4097.0,4177.3184,-80.31836
1,2015-06-21,0.0,6.4753823,-6.4753823
1,2015-06-22,3846.0,3711.6362,134.36377
1,2015-06-23,3762.0,3657.3738,104.62622
1,2015-06-24,3346.0,3611.982,-265.98193
1,2015-06-25,3533.0,3565.0884,-32.08838
1,2015-06-26,3317.0,3628.9836,-311.98364
1,2015-06-27,4019.0,4227.5317,-208.53174
1,2015-06-28,0.0,7.107662,-7.107662
1,2015-06-29,5197.0,5644.014,-447.01416
1,2015-06-30,5735.0,5387.3877,347.6123
1,2015-07-01,5223.0,5134.938,88.06201
1,2015-07-02,5558.0,4814.6704,743.3296
1,2015-07-03,4665.0,4843.5933,-178.59326
1,2015-07-04,4797.0,4072.809,724.1909
1,2015-07-05,0.0,4.001981,-4.001981
1,2015-07-06,4359.0,4171.48,187.52002
1,2015-07-07,3650.0,3870.907,-220.90698
1,2015-07-08,3797.0,3785.453,11.547119
1,2015-07-09,3897.0,3923.2368,-26.236816
1,2015-07-10,3808.0,3872.7776,-64.77759
1,2015-07-11,3530.0,4217.322,-687.3218
1,2015-07-12,0.0,2.7436395,-2.7436395
1,2015-07-13,5054.0,5514.447,-460.44678
1,2015-07-14,5042.0,4852.307,189.69287
1,2015-07-15,4767.0,4746.3105,20.689453
1,2015-07-16,4427.0,4749.476,-322.47607
1,2015-07-17,4852.0,4388.155,463.8452
1,2015-07-18,4406.0,4211.1094,194.89062
1,2015-07-19,0.0,19.108543,-19.108543
1,2015-07-20,4395.0,4234.123,160.87695
1,2015-07-21,3558.0,3761.2188,-203.21875
1,2015-07-22,3464.0,3553.8257,-89.82568
1,2015-07-23,3769.0,3905.6956,-136.69556
1,2015-07-24,3706.0,3821.726,-115.726074
1,2015-07-25,4364.0,3943.9578,420.04224
1,2015-07-26,0.0,3.556246,-3.556246
1,2015-07-27,6102.0,5472.4355,629.56445
1,2015-07-28,5011.0,5007.564,3.4360352
1,2015-07-29,4782.0,4650.4453,131.55469
1,2015-07-30,5020.0,4861.826,158.17383
1,2015-07-31,5263.0,5406.963,-143.96289
2,2015-06-20,3020.0,2587.8618,432.13818
2,2015-06-21,0.0,-16.51158,16.51158
2,2015-06-22,4123.0,3770.4172,352.58276
2,2015-06-23,4094.0,4068.4246,25.57544
2,2015-06-24,4805.0,4400.2656,404.73438
2,2015-06-25,4022.0,4172.047,-150.04688
2,2015-06-26,3953.0,3928.2727,24.727295
2,2015-06-27,2404.0,2945.096,-541.09595
2,2015-06-28,0.0,19.834684,-19.834684
2,2015-06-29,7961.0,8342.285,-381.28516
2,2015-06-30,9863.0,9016.112,846.8877
2,2015-07-01,6431.0,5670.927,760.07324
2,2015-07-02,6189.0,5452.9585,736.0415
2,2015-07-03,4838.0,5281.5615,-443.56152
2,2015-07-04,4475.0,2839.9092,1635.0908
2,2015-07-05,0.0,-6.20011,6.20011
2,2015-07-06,4132.0,4409.1055,-277.10547
2,2015-07-07,4313.0,3897.2625,415.73755
2,2015-07-08,5676.0,5058.646,617.354
2,2015-07-09,4082.0,4671.803,-589.8032
2,2015-07-10,4384.0,4026.385,357.615
2,2015-07-11,2677.0,3140.178,-463.17798
2,2015-07-12,0.0,-11.440149,11.440149
2,2015-07-13,6874.0,7068.5073,-194.50732
2,2015-07-14,6122.0,6132.0913,-10.091309
2,2015-07-15,6406.0,6413.6426,-7.642578
2,2015-07-16,5062.0,5647.674,-585.6738
2,2015-07-17,4518.0,4589.197,-71.19678
2,2015-07-18,3417.0,3251.9558,165.04419
2,2015-07-19,0.0,4.9821687,-4.9821687
2,2015-07-20,4435.0,4309.2144,125.785645
2,2015-07-21,3836.0,4032.1265,-196.12646
2,2015-07-22,5093.0,4314.954,778.0459
2,2015-07-23,4108.0,4127.438,-19.437988
2,2015-07-24,3854.0,3849.2473,4.7526855
2,2015-07-25,2512.0,2597.2268,-85.22681
2,2015-07-26,0.0,-9.979861,9.979861
2,2015-07-27,6627.0,6875.603,-248.60303
2,2015-07-28,5671.0,5909.094,-238.09424
2,2015-07-29,6402.0,5916.126,485.87402
2,2015-07-30,5567.0,5773.6797,-206.67969
2,2015-07-31,6064.0,5862.9346,201.06543
3,2015-06-20,3891.0,4442.3267,-551.32666
3,2015-06-21,0.0,-8.811456,8.811456
3,2015-06-22,5840.0,5675.301,164.69922
3,2015-06-23,6757.0,6089.9253,667.0747
3,2015-06-24,5448.0,6054.423,-606.42285
3,2015-06-25,5763.0,5597.4253,165.5747
3,2015-06-26,6222.0,6166.882,55.118164
3,2015-06-27,5156.0,4279.9946,876.0054
3,2015-06-28,0.0,6.677559,-6.677559
3,2015-06-29,10243.0,11723.659,-1480.6592
3,2015-06-30,13261.0,12908.93,352.0703
3,2015-07-01,8311.0,7711.422,599.5781
3,2015-07-02,7450.0,7527.526,-77.52588
